table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
physfit10,18,gr9pctnotin,gr9pctnotin,str,,False,,,,,Gr9PctNotIn
subgroup14,1,level_number,level_number,int,,False,,,,,Level_Number
subgroup14,2,report_number,report_number,int,,False,,,,,Report_Number
subgroup14,3,table_number,table_number,int,,False,,,,,Table_Number
subgroup14,4,line_number,line_number,int,,False,,,,,Line_Number
subgroup14,5,line_text,line_text,str,,False,,,,,Line_Text
subgroup14,6,table_type,table_type,str,,False,,,,,Table_Type
subgroup14,7,subgroup,subgroup,str,,False,,,,,Subgroup
subgroup01,1,subgrp,subgrp,int,,False,,,,,SubGrp
subgroup01,2,rpttype,rpttype,int,,False,,,,,RptType
subgroup01,3,linenum,linenum,int,,False,,,,,LineNum
subgroup01,4,reporttype,reporttype,str,,False,,,,,ReportType
subgroup01,5,subgroup,subgroup,str,,False,,,,,SubGroup
subgroup01,6,line_text,line_text,str,,False,,,,,Line_Text
subgroup02,1,subgrp,subgrp,int,,False,,,,,SubGrp
subgroup02,2,rpttype,rpttype,int,,False,,,,,RptType
subgroup02,3,linenum,linenum,int,,False,,,,,LineNum
subgroup02,4,reporttype,reporttype,str,,False,,,,,ReportType
subgroup02,5,subgroup,subgroup,str,,False,,,,,SubGroup
subgroup02,6,line_text,line_text,str,,False,,,,,Line_Text
