,facility_number,facility_address,facility_city,facility_state,facility_zip
3403,374600994,6288 WENRICH DRIVE,SAN DIEGO,CA,92120.0
3404,374601375,5615 ASHLAND AVENUE,SAN DIEGO,CA,92120.0
3405,374602061,6667 WANDERMERE CT,SAN DIEGO,CA,92120.0
3406,374601438,7232 GLENFLORA AVENUE,SAN DIEGO,CA,92119.0
3407,374602751,6655 CRAMPTON COURT,SAN DIEGO,CA,92119.0
3545,374600926,303 DALEGROVE LANE,SAN DIEGO,CA,92114.0
3585,374600294,2690 COWLEY WAY,SAN DIEGO,CA,92110.0
3593,374603303,10166 LONE DOVE STREET,SAN DIEGO,CA,92127.0
3680,374603338,10136 ZAPATA AVENUE,SAN DIEGO,CA,92126.0
3681,374603029,13858 KERRY LANE,SAN DIEGO,CA,92130.0
3682,374602415,10136 ZAPATA AVENUE,SAN DIEGO,CA,92126.0
3712,374600272,3990 COLDWELL LANE,SAN DIEGO,CA,92154.0
3821,374602549,3423 CHANNEL WAY,SAN DIEGO,CA,92110.0
3845,374600431,2558 MOBLEY STREET,SAN DIEGO,CA,92123.0
3861,374603580,13101 HARTFIELD AVENUE,SAN DIEGO,CA,92130.0
3916,374601468,8738 COVINA STREET,SAN DIEGO,CA,92126.0
3917,374601469,8748 COVINA STREET,SAN DIEGO,CA,92126.0
3993,374602732,5327 QUINCE STREET,SAN DIEGO,CA,92105.0
4102,374601594,11244 GANESTA DRIVE,SAN DIEGO,CA,92126.0
4144,374600245,2875 MORNINGSIDE STREET,SAN DIEGO,CA,92139.0
4145,374600688,2847 MORNINGSIDE STREE,SAN DIEGO,CA,92139.0
4253,374600169,3941 LIGGETT DRIVE,SAN DIEGO,CA,92106.0
4392,372004900,3586 CHASEWOOD DRIVE,SAN DIEGO,CA,92111.0
4397,374600403,11423 WESTONHILL DRIVE,SAN DIEGO,CA,92126.0
4398,374603318,11423 WESTONHILL DRIVE,SAN DIEGO,CA,92126.0
4403,374603114,17067 COYOTE BUSH DRIVE,SAN DIEGO,CA,92127.0
4487,374602367,1334 VINCA WAY,SAN DIEGO,CA,92114.0
4612,374603212,6461 QUILLAN STREET,SAN DIEGO,CA,92111.0
4656,374602877,2239 CRANDALL DRIVE,SAN DIEGO,CA,92111.0
4719,374602679,10197 SPRING MANOR COURT,SAN DIEGO,CA,92126.0
4751,374602369,3223 DUKE STREET,SAN DIEGO,CA,92110.0
4780,374601775,2555 HOPKINS ST,SAN DIEGO,CA,92139.0
4795,374602062,7541 MILKY WAY POINT,SAN DIEGO,CA,92120.0
4796,374602598,7029 HILLSBORO STREET,SAN DIEGO,CA,92120.0
4863,370804165,6255 MCHANEY COURT,SAN DIEGO,CA,92114.0
5082,374600103,2204 GROVEVIEW ROAD,SAN DIEGO,CA,92139.0
5164,374603056,11249 ANTILLA PLACE,SAN DIEGO,CA,92126.0
5200,370804407,2360 ALBATROSS ST.,SAN DIEGO,CA,92101.0
5201,374603715,2360 ALBATROSS STREET,SAN DIEGO,CA,92101.0
5488,374602755,5651 DOROTHY WAY,SAN DIEGO,CA,92115.0
5536,374602806,6811 FUJI STREET,SAN DIEGO,CA,92139.0
5604,374602275,4905 WYCONDA LN,SAN DIEGO,CA,92113.0
5624,374603333,336 WINEWOOD STREET,SAN DIEGO,CA,92114.0
5755,374601811,10264 AMBASSADOR AVE,SAN DIEGO,CA,92126.0
5773,374603180,4075 54TH STREET,SAN DIEGO,CA,92105.0
5774,374600523,4075 54TH STREET,SAN DIEGO,CA,92105.0
5781,374602597,6045 REO PLACE,SAN DIEGO,CA,92139.0
5818,374603368,8333 LAKE GABY AVE,SAN DIEGO,CA,92119.0
5819,374600927,6281 JACKSON DRIVE,SAN DIEGO,CA,92119.0
5837,374602895,1332 LEAF TERRACE,SAN DIEGO,CA,92114.0
5894,374603006,8666 OCTANS ST,SAN DIEGO,CA,92126.0
5895,374603345,10864 WORTHING AVENUE,SAN DIEGO,CA,92126.0
5898,374600192,9012 TICKET STREET,SAN DIEGO,CA,92126.0
5908,374601895,12946 AMARANTH ST,SAN DIEGO,CA,92129.0
5945,372004880,10658 KEMERTON ROAD,SAN DIEGO,CA,92126.0
5946,374600803,656 VALENCIA PARKWAY,SAN DIEGO,CA,92114.0
6030,374603486,10003 KIBLER DRIVE,SAN DIEGO,CA,92126.0
6218,374601648,7867 LAKE ANDRITA AVENUE,SAN DIEGO,CA,92119.0
6252,374603104,1148 KENALAN DR,SAN DIEGO,CA,92154.0
6369,374603138,6425 HIGH KNOLL ROAD,SAN DIEGO,CA,92111.0
6405,374603283,10566 GABACHO DRIVE,SAN DIEGO,CA,92124.0
6414,374601552,11419 WESTONHILL DRIVE,SAN DIEGO,CA,92126.0
6460,370804527,3993 CASEMAN STREET,SAN DIEGO,CA,92154.0
6549,374603063,410 SOUTH 58TH STREET,SAN DIEGO,CA,92114.0
6599,374602930,7142 BOBHIRD,SAN DIEGO,CA,92119.0
6603,374603337,3532 GOVERNOR DRIVE,SAN DIEGO,CA,92122.0
6698,372004561,3636 CHRISTINE STREET,SAN DIEGO,CA,92117.0
6778,374602703,485 VALENCIA PARKWAY,SAN DIEGO,CA,92114.0
6834,374602747,2361 MONTCLIFF ROAD,SAN DIEGO,CA,92139.0
6995,374603151,2567 2ND AVENUE,SAN DIEGO,CA,92103.0
6996,374603274,2567 2ND AVE,SAN DIEGO,CA,92103.0
7017,370804455,3865 DARWIN AVENUE,SAN DIEGO,CA,92154.0
7032,374603330,8715 STANWELL STREET,SAN DIEGO,CA,92126.0
7066,374602768,147 TASMAN PLACE,SAN DIEGO,CA,92114.0
7071,372004240,8904 REVELSTOKE WAY,SAN DIEGO,CA,92126.0
7088,374601971,10961 SAN BLAS CIR,SAN DIEGO,CA,92126.0
7092,374600269,7027 COWLES MOUNTAIN BLVD.,SAN DIEGO,CA,92119.0
7093,374603382,7027 COWLES MOUNTAIN BLVD,SAN DIEGO,CA,92119.0
7094,374600263,8323 LAKE GABY AVENUE,SAN DIEGO,CA,92119.0
7095,374603383,8323 LAKE GABY AVE,SAN DIEGO,CA,92119.0
7096,374600418,8304 LAKE GABY,SAN DIEGO,CA,92119.0
7097,374603384,8304 LAKE GABY,SAN DIEGO,CA,92119.0
7108,374603392,2996 MISSION VILLAGE DRIVE,SAN DIEGO,CA,92123.0
7109,372004808,2996 MISSION VILLAGE DR.,SAN DIEGO,CA,92123.0
7110,374603043,2849 MELBOURNE DRIVE,SAN DIEGO,CA,92123.0
7113,374600411,2997 MELBOURNE DRIVE,SAN DIEGO,CA,92123.0
7114,374601302,2493 MELBOURNE DRIVE,SAN DIEGO,CA,92123.0
7125,374603529,2337 CAMINO DEL RIO SOUTH,SAN DIEGO,CA,92108.0
7128,374603530,2335 CAMINO DEL RIO SOUTH,SAN DIEGO,CA,92108.0
7232,374603745,11178 DEL DIABLO WAY,SAN DIEGO,CA,92129.0
7236,374600880,2189 CROWNHILL ROAD,SAN DIEGO,CA,92109.0
7341,374603273,3535 FENELON STREET,SAN DIEGO,CA,92106.0
7381,372000400,6333 RANCHO MISSION ROAD,SAN DIEGO,CA,92108.0
7490,374603763,12927 GUACAMAYO CT,SAN DIEGO,CA,92128.0
7503,374603342,5211 JOAN COURT,SAN DIEGO,CA,92115.0
7721,374602492,8825 STANWELL STREET,SAN DIEGO,CA,92126.0
7755,374601398,5638 PLUMAS STREET,SAN DIEGO,CA,92139.0
7756,374603444,5638 PLUMAS STREET,SAN DIEGO,CA,92139.0
7757,374601632,116 LAUSANNE DRIVE,SAN DIEGO,CA,92114.0
7816,374603761,146 WEDGEWOOD DRIVE,SAN DIEGO,CA,92114.0
7833,374603731,10393 GOLD COAST PLACE,SAN DIEGO,CA,92126.0
7834,374603782,10393 GOLD COAST PL,SAN DIEGO,CA,92126.0
7897,374603405,4706 LEATHERS STREET,SAN DIEGO,CA,92117.0
