"facility_id","address","matched","quality","matched address","lat-lon","tiger_line_id","side_of_street"
"374601472","6325 DENNISON STREET, SAN DIEGO, CA, 92122","Match","Exact","6325 DENNISON ST, SAN DIEGO, CA, 92122","-117.20914,32.85399","195302188","R"
"374602542","6364 GALLEGOS TERRACE, SAN DIEGO, CA, 92114","Match","Exact","6364 GALLEGOS TER, SAN DIEGO, CA, 92114","-117.06068,32.692722","195663845","R"
"374601727","10165 WESTONHILL DR, SAN DIEGO, CA, 92126","Match","Exact","10165 WESTONHILL DR, SAN DIEGO, CA, 92126","-117.135635,32.902733","195318899","R"
"374602862","1903 OLIVE AVENUE, SAN DIEGO, CA, 92139","Match","Exact","1903 OLIVE AVE, SAN DIEGO, CA, 92139","-117.070885,32.68071","195352786","R"
"374601334","3008 MELBOURNE DR, SAN DIEGO, CA, 92123","Match","Exact","3008 MELBOURNE DR, SAN DIEGO, CA, 92123","-117.127266,32.79837","195321396","L"
"374603625","4518 54TH STREET, SAN DIEGO, CA, 92115","Match","Exact","4518 54TH ST, SAN DIEGO, CA, 92115","-117.079445,32.7595","639045205","L"
"374603727","12285 FRONTERA ROAD, SAN DIEGO, CA, 92128","Match","Exact","12285 FRONTERA RD, SAN DIEGO, CA, 92128","-117.064964,33.020687","195316277","R"
"374600479","3737 31ST STREET, SAN DIEGO, CA, 92104","Match","Exact","3737 31ST ST, SAN DIEGO, CA, 92104","-117.12715,32.7463","195345729","R"
"374602963","3664 GOVERNOR, SAN DIEGO, CA, 92122","Match","Non_Exact","3664 GOVERNOR DR, SAN DIEGO, CA, 92122","-117.2086,32.852966","195302207","L"
"374602768","147 TASMAN PLACE, SAN DIEGO, CA, 92114","Match","Exact","147 TASMAN PL, SAN DIEGO, CA, 92114","-117.04502,32.698795","195654889","L"
"374602549","3423 CHANNEL WAY, SAN DIEGO, CA, 92110","Match","Exact","3423 CHANNEL WAY, SAN DIEGO, CA, 92110","-117.21875,32.7569","635494079","R"
"374600890","5308 MONROE AVENUE, SAN DIEGO, CA, 92115","Match","Exact","5308 MONROE AVE, SAN DIEGO, CA, 92115","-117.08184,32.759007","195350240","L"
"374600980","7766 PRAIRIE MOUND WAY, SAN DIEGO, CA, 92139","Match","Exact","7766 PRAIRIE MOUND WAY, SAN DIEGO, CA, 92139","-117.02817,32.69554","195361279","L"
"370804455","3865 DARWIN AVENUE, SAN DIEGO, CA, 92154","Match","Exact","3865 DARWIN AVE, SAN DIEGO, CA, 92154","-117.05051,32.576714","195358858","R"
"372004738","4282 BALBOA AVENUE, SAN DIEGO, CA, 92117","Match","Exact","4282 BALBOA AVE, SAN DIEGO, CA, 92117","-117.19765,32.81203","195684181","L"
"372004836","10255 THANKSGIVING LANE, SAN DIEGO, CA, 92126","Match","Exact","10255 THANKSGIVING LN, SAN DIEGO, CA, 92126","-117.12742,32.903954","195319113","R"
"374602452","8235 HYDRA LANE, SAN DIEGO, CA, 92126","Match","Exact","8235 HYDRA LN, SAN DIEGO, CA, 92126","-117.146034,32.920372","195698413","R"
"374603610","659 SUNNYSIDE AVE, SAN DIEGO, CA, 92114","Match","Exact","659 SUNNYSIDE AVE, SAN DIEGO, CA, 92114","-117.02593,32.711304","195361110","R"
"374602254","8231 CASA BLANCA PLACE, SAN DIEGO, CA, 92126","Match","Exact","8231 CASA BLANCA PL, SAN DIEGO, CA, 92126","-117.146194,32.907703","195301140","R"
"374603212","6461 QUILLAN STREET, SAN DIEGO, CA, 92111","Match","Exact","6461 QUILLAN ST, SAN DIEGO, CA, 92111","-117.17855,32.79148","195305899","R"
"374601348","3219 CANON ST, SAN DIEGO, CA, 92106","Match","Exact","3219 CANON ST, SAN DIEGO, CA, 92106","-117.234344,32.72319","195340338","L"
"374602877","2239 CRANDALL DRIVE, SAN DIEGO, CA, 92111","Match","Exact","2239 CRANDALL DR, SAN DIEGO, CA, 92111","-117.16452,32.78469","195306606","R"
"370804725","1611 PARKLAND WAY, SAN DIEGO, CA, 92114","Match","Exact","1611 PARKLAND WAY, SAN DIEGO, CA, 92114","-117.04975,32.69264","195749614","L"
"374603617","13101 HARTFIELD AVENUE, SAN DIEGO, CA, 92130","Match","Exact","13101 HARTFIELD AVE, SAN DIEGO, CA, 92130","-117.2304,32.956764","195657571","R"
"374601074","223 SOUTH SIENA STREET, SAN DIEGO, CA, 92114","Match","Exact","223 S SIENA ST, SAN DIEGO, CA, 92114","-117.037994,32.70094","195374222","L"
"374603714","10603 RANCHO BERNARDO ROAD, SAN DIEGO, CA, 92127","Match","Exact","10603 RANCHO BERNARDO RD, SAN DIEGO, CA, 92127","-117.10481,33.021885","195654081","R"
"374603715","2360 ALBATROSS STREET, SAN DIEGO, CA, 92101","Match","Exact","2360 ALBATROSS ST, SAN DIEGO, CA, 92101","-117.16575,32.72989","195343080","L"
"374602359","8937 GRAMERCY DRIVE, SAN DIEGO, CA, 92123","Match","Exact","8937 GRAMERCY DR, SAN DIEGO, CA, 92123","-117.13584,32.80264","195321283","R"
"374600898","7960 GAYLEN ROAD, SAN DIEGO, CA, 92126","Match","Exact","7960 GAYLEN RD, SAN DIEGO, CA, 92126","-117.15119,32.91527","195300962","L"
"374602971","16922 HIERBA DRIVE, SAN DIEGO, CA, 92128","Match","Exact","16922 HIERBA DR, SAN DIEGO, CA, 92128","-117.0713,33.0203","195316022","R"
"374602164","5706 TULANE ST, SAN DIEGO, CA, 92122","Match","Exact","5706 TULANE ST, SAN DIEGO, CA, 92122","-117.21574,32.846386","195302069","L"
"370804823","2340 FOURTH AVENUE, SAN DIEGO, CA, 92101","Match","Exact","2340 4TH AVE, SAN DIEGO, CA, 92101","-117.1612,32.72974","195343213","L"
"374602023","1268 STAMEN ST, SAN DIEGO, CA, 92114","Match","Exact","1268 STAMEN ST, SAN DIEGO, CA, 92114","-117.06203,32.697014","195678844","R"
"374603029","13858 KERRY LANE, SAN DIEGO, CA, 92130","Match","Exact","13858 KERRY LN, SAN DIEGO, CA, 92130","-117.16214,32.96836","195756828","L"
"374600523","4075 54TH STREET, SAN DIEGO, CA, 92105","Match","Exact","4075 54TH ST, SAN DIEGO, CA, 92105","-117.079414,32.750008","627884053","R"
"374603443","1903 OLIVE AVENUE, SAN DIEGO, CA, 92139","Match","Exact","1903 OLIVE AVE, SAN DIEGO, CA, 92139","-117.070885,32.68071","195352786","R"
"374603444","5638 PLUMAS STREET, SAN DIEGO, CA, 92139","Match","Exact","5638 PLUMAS ST, SAN DIEGO, CA, 92139","-117.07221,32.681335","195352781","L"
"374601398","5638 PLUMAS STREET, SAN DIEGO, CA, 92139","Match","Exact","5638 PLUMAS ST, SAN DIEGO, CA, 92139","-117.07221,32.681335","195352781","L"
"374603442","11178 DEL DIABLO WAY, SAN DIEGO, CA, 92129","Match","Exact","11178 DEL DIABLO WAY, SAN DIEGO, CA, 92129","-117.08806,32.987503","195316130","L"
"372004808","2996 MISSION VILLAGE DR., SAN DIEGO, CA, 92123","Match","Exact","2996 MISSION VILLAGE DR, SAN DIEGO, CA, 92123","-117.12619,32.79823","195321405","L"
"374603345","10864 WORTHING AVENUE, SAN DIEGO, CA, 92126","Match","Exact","10864 WORTHING AVE, SAN DIEGO, CA, 92126","-117.145134,32.917007","195318716","L"
"374602460","7108 WERNER STREET, SAN DIEGO, CA, 92122","Match","Exact","7108 WERNER ST, SAN DIEGO, CA, 92122","-117.19065,32.857616","195304453","L"
"374603342","5211 JOAN COURT, SAN DIEGO, CA, 92115","Match","Exact","5211 JOAN CT, SAN DIEGO, CA, 92115","-117.083336,32.77076","195322861","R"
"374600411","2997 MELBOURNE DRIVE, SAN DIEGO, CA, 92123","Match","Exact","2997 MELBOURNE DR, SAN DIEGO, CA, 92123","-117.127,32.797913","195321403","R"
"374602700","4518 54TH STREET, SAN DIEGO, CA, 92115","Match","Exact","4518 54TH ST, SAN DIEGO, CA, 92115","-117.079445,32.7595","639045205","L"
"370804165","6255 MCHANEY COURT, SAN DIEGO, CA, 92114","Match","Exact","6255 MCHANEY CT, SAN DIEGO, CA, 92114","-117.06418,32.69203","195353132","R"
"374600418","8304 LAKE GABY, SAN DIEGO, CA, 92119","Match","Non_Exact","8304 LAKE GABY AVE, SAN DIEGO, CA, 92119","-117.01747,32.802204","612879210","L"
"374602703","485 VALENCIA PARKWAY, SAN DIEGO, CA, 92114","Match","Exact","485 VALENCIA PKWY, SAN DIEGO, CA, 92114","-117.06977,32.700264","195352300","L"
"374602704","6354 CASCADE ST, SAN DIEGO, CA, 92122","Match","Exact","6354 CASCADE ST, SAN DIEGO, CA, 92122","-117.208565,32.854572","195302189","L"
"374601594","11244 GANESTA DRIVE, SAN DIEGO, CA, 92126","Match","Non_Exact","11244 GANESTA RD, SAN DIEGO, CA, 92126","-117.139305,32.927456","195318259","L"
"374600108","1966 PARADISE STREET, SAN DIEGO, CA, 92114","Match","Exact","1966 PARADISE ST, SAN DIEGO, CA, 92114","-117.057594,32.72578","195351651","L"
"374602852","3090 CHAVEZ ROAD, SAN DIEGO, CA, 92154","Match","Exact","3090 CHAVEZ RD, SAN DIEGO, CA, 92154","-117.06737,32.56003","195364929","L"
"374601933","13597 PASEO CARDIEL, SAN DIEGO, CA, 92129","Match","Non_Exact","13597 PSO CARDIEL, SAN DIEGO, CA, 92129","-117.113884,32.96202","195318501","R"
"374603330","8715 STANWELL STREET, SAN DIEGO, CA, 92126","Match","Exact","8715 STANWELL ST, SAN DIEGO, CA, 92126","-117.1366,32.911957","195318797","R"
"372002165","8031 MONTARA AVENUE, SAN DIEGO, CA, 92126","Match","Exact","8031 MONTARA AVE, SAN DIEGO, CA, 92126","-117.150246,32.92456","195300691","R"
"374603333","336 WINEWOOD STREET, SAN DIEGO, CA, 92114","Match","Exact","336 WINEWOOD ST, SAN DIEGO, CA, 92114","-117.04265,32.70827","195360911","L"
"374601199","3505 SPARLING STREET, SAN DIEGO, CA, 92115","Match","Exact","3505 SPARLING ST, SAN DIEGO, CA, 92115","-117.05837,32.74406","195351247","R"
